Year,Forecasted Demand,Operational Cost (USD),Required Labor Hours,Required Machinery Hours,Average Wage (USD),Workforce Size,Labor Market Tightness,Expected Total Revenue (USD),Expected Raw Material Cost (USD),Expected Compliance Cost (USD),Expected Environmental Compliance Cost (USD),Expected Labor Law Changes Impact Cost (USD),Expected Technology Investment Cost (USD),Annual Budget (USD)
2014,50000,50000,1000,800,20,50,0.05,7000000,2500000,2000,1000,500,10000,6986000
2015,52000,51500,1100,850,22,55,0.055,7252000,2652000,2200,1100,550,10500,7237496
2016,54080,53000,1200,900,24,60,0.06,7516160,2812160,2400,1200,600,11000,7501127.68
2017,56243,54500,1300,950,26,65,0.065,7793029,2980879,2600,1300,650,11500,7777442.942
2018,58495,56000,1400,1000,28,70,0.07,8083480,3158730,2800,1400,700,12000,8067313.04
2019,60840,57500,1500,1050,30,75,0.075,9388200,3346200,3000,1500,750,12500,9369423.6
2020,63282,59000,1600,1100,32,80,0.08,10707892,3543792,3200,1600,800,13000,10686476.22
2021,65825,60500,1700,1150,34,85,0.085,9043275,3752025,3400,1700,850,13500,9025188.45
2022,68476,62000,1800,1200,36,90,0.09,9395408,3971608,3600,1800,900,14000,9376617.184
2023,71240,63500,1900,1250,38,95,0.095,9765160,4203160,3800,1900,950,14500,9745629.68
